Cp1252,,
Domain,UniqueName,visibleOnUI
unspsc,12161603,true
unspsc,12161703,true
unspsc,12161801,true
unspsc,12161803,true
unspsc,12161804,true
unspsc,12161808,true
unspsc,12161901,true
unspsc,12161902,true
unspsc,12161903,true
unspsc,12161905,true
unspsc,12162002,true
unspsc,12162003,true
unspsc,12162204,true
unspsc,12162302,true
unspsc,12162801,true
unspsc,12163101,true
unspsc,12163501,true
unspsc,12163601,true
unspsc,12163802,true
unspsc,12163902,true
unspsc,12164001,true
unspsc,12164102,true
unspsc,12164201,true
unspsc,12164501,true
unspsc,12164504,true
unspsc,12171501,true
unspsc,12171504,true
unspsc,12171505,true
unspsc,12171603,true
unspsc,12171703,true
unspsc,12181503,true
unspsc,12181504,true
unspsc,12181601,true
unspsc,12181602,true
unspsc,12191501,true
unspsc,12191503,true
unspsc,12191601,true
unspsc,12201601,true
unspsc,12352001,true
unspsc,12352102,true
unspsc,12352103,true
unspsc,12352104,true
unspsc,12352106,true
unspsc,12352107,true
unspsc,12352112,true
unspsc,12352115,true
unspsc,12352120,true
unspsc,12352130,true
unspsc,12352204,true
unspsc,12352211,true
unspsc,12352301,true
unspsc,12352302,true
unspsc,12352303,true
unspsc,12352305,true
unspsc,12352308,true
unspsc,12352309,true
unspsc,12352310,true
unspsc,12352401,true
unspsc,12352402,true
unspsc,13101601,true
unspsc,13101606,true
unspsc,13101607,true
unspsc,13101701,true
unspsc,13101702,true
unspsc,13101703,true
unspsc,13101709,true
unspsc,13101717,true
unspsc,13101723,true
unspsc,13101902,true
unspsc,13101904,true
unspsc,13101906,true
unspsc,13102005,true
unspsc,13102008,true
unspsc,13102010,true
unspsc,13102011,true
unspsc,13102013,true
unspsc,13102014,true
unspsc,13102015,true
unspsc,13102017,true
unspsc,13102018,true
unspsc,13102020,true
unspsc,13102022,true
unspsc,13102029,true
unspsc,13102030,true
unspsc,13111001,true
unspsc,13111002,true
unspsc,13111010,true
unspsc,13111012,true
unspsc,13111016,true
unspsc,13111025,true
unspsc,13111037,true
unspsc,13111041,true
unspsc,13111044,true
unspsc,13111053,true
unspsc,13111059,true
unspsc,13111063,true
unspsc,13111064,true
unspsc,13111201,true
unspsc,13111202,true
unspsc,13111204,true
unspsc,13111208,true
unspsc,13111209,true
unspsc,13111210,true
unspsc,13111220,true
unspsc,13111303,true
unspsc,13111305,true
unspsc,13111308,true
unspsc,14111502,true
unspsc,14111503,true
unspsc,14111504,true
unspsc,14111506,true
unspsc,14111507,true
unspsc,14111509,true
unspsc,14111510,true
unspsc,14111511,true
unspsc,14111512,true
unspsc,14111513,true
unspsc,14111514,true
unspsc,14111515,true
unspsc,14111516,true
unspsc,14111518,true
unspsc,14111519,true
unspsc,14111524,true
unspsc,14111525,true
unspsc,14111526,true
unspsc,14111527,true
unspsc,14111528,true
unspsc,14111530,true
unspsc,14111531,true
unspsc,14111533,true
