"UTF-8"
UniqueName,Name
CR_MACH1_GB_4535,Central Receiver 4535
CR_MACH1_US_1000_1060_UJ00,Site Receiver 1060_UJ00
CR_MACH1_US_1000_1060_UJ01,Site Receiver 1060_UJ01
CR_MACH1_US_1000_1060_UJ02,Site Receiver 1060_UJ02

CR_MACH1_US_1885_1010_R800,Site Receiver 1010_R800
CR_MACH1_US_1885_1010_R801,Site Receiver 1010_R801
CR_MACH1_US_1885_1010_R802,Site Receiver 1010_R802
HM_MACH1_US_1000_1060_UJ00,HM_MACH1_US_1000_1060_UJ00
HM_MACH1_US_1000_1060_UJ01,HM_MACH1_US_1000_1060_UJ01
HM_MACH1_US_1000_1060_UJ02,HM_MACH1_US_1000_1060_UJ02
HM_MACH1_US_1885_1010_R800,Hazmat Approver 1885_1010_R800
HM_MACH1_US_1885_1010_R801,Hazmat Approver 1885_1010_R801
HM_MACH1_US_1885_1010_R802,Hazmat Approver 1885_1010_R802
IT_MACH1_US_1885_1010,IT Approver 1885_1010(CPPI)
PA_MACH1_US_1000,Pre-Approver US (1000)
VertexManager,Vertex Intergration Manager
"CR_MACH1_US_1000_1220","Central Receiving [1220]"
"HM_MACH1_US_1000_1220","HazMat Approver [1220]"
"CR_MACH1_US_1000_1210","Central Receiving [1210]"
"HM_MACH1_US_1000_1210","HazMat Approver [1210]"
"CR_MACH1_US_1000_1230","Central Receiving [1230]"
"HM_MACH1_US_1000_1230","HazMat Approver [1230]"
"HM_MACH1_US_1000_1770","HazMat Approver [1770]"
"HM_MACH1_US_1000_1770_JQ02","HazMat Approver [1770_JQ02]"
MACH1_Cutover_Approver,MACH1_Cutover_Approver
CR_MACH1_US_1000_1300,Central Receiving CGM 1000_1300
HM_MACH1_US_1000_1300,Hazmat Approver 1300
"CR_MACH1_US_1000_1170","Central Receiving [1170]"
"HM_MACH1_US_1000_1170","HazMat Approver [1170]"
"CR_MACH1_US_1000_1190","Central Receiving [1190]"
"HM_MACH1_US_1000_1190","HazMat Approver [1190]"
"CR_MACH1_US_1000_1200","Central Receiving [1200]"
"HM_MACH1_US_1000_1200","HazMat Approver [1200]"
IM_CBS_CN_HB00,IM_CBS_CN_HB00
IM_CBS_CN_FT00,IM_CBS_CN_FT00
IM_CBS_CN_JJ00,IM_CBS_CN_JJ00
IM_CBS_CN_NN00,IM_CBS_CN_NN00
IM_CBS_CN_S200,IM_CBS_CN_S200
IM_CBS_CN_S400,IM_CBS_CN_S400
IM_CBS_CN_S700,IM_CBS_CN_S700
IM_CBS_CN_WJ00,IM_CBS_CN_WJ00
IM_CBS_CN_XJ00,IM_CBS_CN_XJ00
CR_MACH1_US_1000_1310,Central Receiving CGM 1000_1310
HM_MACH1_US_1000_1310,Hazmat Approver 1310
CR_MACH1_US_1000_1120,Central Receiving CGM 1000_1120
HM_MACH1_US_1000_1120,Hazmat Approver 1120
CR_MACH1_US_1000_1130,Central Receiving CGM 1000_1130
HM_MACH1_US_1000_1130,Hazmat Approver 1130
CR_MACH1_US_1000_1140,Central Receiving CGM 1000_1140
HM_MACH1_US_1000_1140,Hazmat Approver 1140
CR_MACH1_US_1000_1110,Central Receiving CGM 1000_1110
HM_MACH1_US_1000_1110,Hazmat Approver 1110
CR_CGM_US_1000_5000_QR01,Central Receiving CGM 1000_5000
CR_CGM_US_1000_5400_QR02,Central Receiving CGM 1000_5400
CR_CGM_US_1000_5700_QR03,Central Receiving CGM 1000_5700
CR_CGM_US_1000_5800_QR04,Central Receiving CGM 1000_5800
CR_CGM_US_1010,Central Receiving CGM 1010
CR_CGM_US_1100,Central Receiving CGM 1100
CR_CGM_US_1200_1210_QU00,Central Receiving CGM 1200_QU00
CR_CGM_US_1200_1210_QU01,Central Receiving CGM 1210_QU01
CR_CGM_US_1400_1400_UD00,Central Receiving CGM 1400_UD00
CR_CGM_US_1400_1400_UD01,Central Receiving CGM 1400_UD01
HM_CGM_US_1000,HazMat Approver (1000)
HM_CGM_US_1010,HazMat Approver (1010)
HM_CGM_US_1100,HazMat Approver (1100)
HM_CGM_US_1200,HazMat Approver (1200)
HM_CGM_US_1400,HazMat Approver (1400)
