Cp1252,,
UniqueName,Name,NARSApplicationID
PA_Mach1_US_1000_UJ00,PreApprover (Mach1) UJ00,MSC-01-UJ00_PREAPPRVR
PA_Mach1_US_1000_UJ01,PreApprover (Mach1) UJ01,MSC-01-UJ01_PREAPPRVR
PA_Mach1_US_1000_UJ02,PreApprover (Mach1) UJ02,MSC-01-UJ02_PREAPPRVR
Panama Receiving,Panama Receiving,MSC-01-PANAMARCVG
Paving Transaction Team,Paving Transaction Team,MSC-R8-PAVINGTRANTEAM
Pontiac Receiving,Pontiac Receiving,MSC-29-PONTIACRCVG
Prentiss Receiving,Prentiss Receiving,MSC-68-PRENTISSRCVG
Preparer Exception Handler,Preparer Exception Handler,MSC-01-PREPEXCPHANDLER
Professional Buyer,Professional Buyer,MSC-01-PROFESSIONALBUYER
Purchasing Mgr (ezopen-EU),Purchasing Manager (EU),MSC-36-PURMANAGER
Purchasing Mgr (ezopen-Europe),Purchasing Manager (Europe),MSC-36-PURMGR_EU
Purchasing Mgr (mfg1-Europe),Purchasing Manager (Europe),MSC-01-PURCHMGR_EUROPE
Purchasing Mgr (mfg1-UK),Purchasing Manager (Perkins-UK),MSC-01-PURCHMGR_UK
RPF Receiving,RPF Receiving,MSC-01-RPFRCVG
Reman Business Resources Group,Reman Business Resources Group,MSC-01-REMANBUSIRESOURCE
Report All,Report All,MSC-01-REPORTALL
S&PD Business Resources Group,S&PD Business Resources Group,MSC-01-S_PDBUSIRESOURCE
SR_CBS_MX_8900,Site Receiver 8900,MSC-01-SR_CBS_MX_8900
SR_CBS_MX_MC00,Site Receiver MC00,MSC-01-SR_CBS_MX_MC00
SR_CBS_MX_ME00,Site Receiver ME00,MSC-01-SR_CBS_MX_ME00
SR_CBS_MX_XY00,Site Receiver XY00,MSC-01-SR_CBS_MX_XY00
SR_Mach1_US_1000_UJ00,Site Receiver UJ00,MSC-01-UJ00_RCVG
SR_Mach1_US_1000_UJ01,Site Receiver UJ01,MSC-01-UJ01_RCVG
SR_Mach1_US_1000_UJ02,Site Receiver UJ02,MSC-01-UJ02_RCVG
Sumter HCG Receiving,Sumter HCG Receiving,MSC-ZZ-SUMTERHCGRCVG
Sumter PPPG Receiving,Sumter PPPG Receiving,MSC-ZZ-SUMTERPPPGRCVG
Supplier Entry,Supplier Entry,MSC-01-SUPPLIERENTRY
SupplierAdmin,SupplierAdmin,MSC-01-SUPPLIERADMIN
T&SD Receiving,T&SD Receiving,MSC-41-T_SDRCVG
TBU Receiving,TBU Receiving,MSC-CZ-TBURCVG
TM_CBS_CN_FT00,Tax Manager FT00,MSC-01-FT00_TAXMANAGER
TM_CBS_MX,Tax Manager(Mexico),MSC-01-TM_CBS_MX
TM_CBS_SG,Tax Manager (Singapore),MSC-SG-TAX_MANAGER
TM_MACH1_US_1885,Tax Manager (1885),MSC-01-TAXMANAGERMACH1
TM_Mach1_US_1000,Tax Manager (1000),MSC-01-1000_TAXMANAGER
TTT Receiving,TTT Receiving,MSC-16-TTTRCVG
Tax Audit,Tax Audit,MSC-01-TAXAUDIT
Tax Manager,Tax Manager,MSC-01-TAXMANAGER
Toccoa Receiving,Toccoa Receiving,MSC-XU-TOCCOARCVG
Transaction Center (EU),Indirect Purchasing (EU),MSC-36-TRANSCENTER_EU
Transaction Center (US),Indirect Purchasing (US),MSC-01-TRANSCENTER_US
Transaction Center (mfg1),Transaction Center (Perkins-UK),MSC-01-TRANSCENTER_UK
Tucson Receiving,Tucson Receiving,MSC-01-TUCSONRCVG
Voucher Inquirer,Voucher Inquirer,MSC-01-VOUCHERINQUIRER
Voucher Manager,Voucher Manager,MSC-01-VOUCHERMANAGER
West Plains Receiving,West Plains Receiving,MSC-KO-WESTPLAINSRCVG
